Date,Open,High,Low,Close,Volume,Adj Close
2013-06-13,37.46,37.98,36.87,37.80,5839000,37.80
2013-06-12,38.12,38.51,37.29,37.58,7769100,37.58
2013-06-11,38.24,38.32,37.34,37.59,8942900,37.59
2013-06-10,39.95,39.97,38.52,38.68,10800800,38.68
2013-06-07,38.38,39.64,38.27,39.61,10146600,39.61
2013-06-06,37.87,38.40,37.10,38.06,10970900,38.06
2013-06-05,38.68,38.81,37.69,37.95,18556600,37.95
2013-06-04,39.25,40.19,37.57,37.80,29720600,37.80
2013-06-03,42.37,42.44,40.09,41.04,8969800,41.04
2013-05-31,42.52,43.06,42.08,42.33,5758500,42.33
2013-05-30,42.09,42.97,42.00,42.76,5557500,42.76
2013-05-29,41.18,42.36,40.85,41.93,8799500,41.93
2013-05-28,43.53,43.53,41.62,41.80,10067300,41.80
2013-05-24,42.75,43.82,41.80,43.25,21576800,43.25
2013-05-23,43.44,46.05,43.02,45.69,12218700,45.69
2013-05-22,46.43,47.22,45.53,45.78,6717200,45.78
2013-05-21,47.05,47.11,46.30,46.33,6112600,46.33
2013-05-20,47.14,47.58,46.82,47.01,6331700,47.01
2013-05-17,46.18,46.83,45.75,46.79,4787600,46.79
2013-05-16,45.39,47.31,45.29,46.15,7165000,46.15
2013-05-15,45.03,45.07,44.41,44.79,3099500,44.79
2013-05-14,44.05,45.04,44.01,44.98,4117200,44.98
2013-05-13,44.33,44.56,43.83,43.96,2945200,43.96
2013-05-10,43.21,44.25,43.21,44.17,4287000,44.17
2013-05-09,42.35,43.78,42.28,43.15,6062100,43.15
2013-05-08,42.43,42.59,42.20,42.37,3029900,42.37
2013-05-07,42.64,42.85,42.11,42.42,2803000,42.42
2013-05-06,42.33,42.84,42.30,42.44,4305700,42.44
2013-05-03,42.27,42.50,42.06,42.24,2897000,42.24
2013-05-02,41.77,42.10,41.50,41.87,3598400,41.87
2013-05-01,41.21,42.19,41.12,41.56,6423600,41.56
2013-04-30,41.05,41.24,40.71,41.11,3806600,41.11
2013-04-29,40.75,41.28,40.55,41.01,2651800,41.01
2013-04-26,40.84,41.10,40.63,40.71,2646100,40.71
2013-04-25,41.10,41.17,40.62,40.76,5148900,40.76
2013-04-24,41.02,41.53,40.87,40.91,2671100,40.91
2013-04-23,40.71,41.55,40.61,41.08,4115200,41.08
2013-04-22,41.06,41.17,40.13,40.32,4897800,40.32
2013-04-19,41.02,41.25,39.75,40.88,8713600,40.88
2013-04-18,41.17,41.91,40.76,41.03,4476800,41.03
2013-04-17,168.85,170.66,165.66,167.35,22142000,41.84
2013-04-16,166.74,170.40,166.07,170.39,6039200,42.60
2013-04-15,167.98,169.94,165.18,165.18,7120000,41.29
2013-04-12,166.36,169.86,164.50,169.52,7168400,42.38
2013-04-11,167.52,168.34,165.63,166.51,6846000,41.63
2013-04-10,165.94,169.21,165.51,168.78,4476400,42.19
2013-04-09,167.51,167.51,163.55,165.33,5304000,41.33
2013-04-08,164.96,167.19,163.97,166.86,3674400,41.72
2013-04-05,161.66,165.72,161.32,165.42,5285200,41.35
2013-04-04,168.52,168.66,164.52,166.41,5673200,41.60
2013-04-03,174.82,175.85,166.69,168.51,8306000,42.13
2013-04-02,176.99,177.29,174.81,175.33,3875600,43.83
2013-04-01,178.70,179.65,174.73,175.39,4823200,43.85
2013-03-28,175.83,179.22,175.08,178.83,6541200,44.71
2013-03-27,172.92,176.17,172.48,175.88,5028400,43.97
2013-03-26,173.50,174.81,171.19,173.59,4500800,43.40
2013-03-25,175.94,176.27,172.22,172.76,5163200,43.19
2013-03-22,175.40,177.12,173.05,176.06,7256400,44.01
2013-03-21,170.77,173.68,170.14,172.73,6500000,43.18
2013-03-20,173.15,173.69,171.78,172.51,4590400,43.13
2013-03-19,174.52,174.73,170.37,171.23,7280800,42.81
2013-03-18,175.30,177.00,173.82,174.13,6496800,43.53
2013-03-15,178.43,179.84,176.19,176.50,9867600,44.12
2013-03-14,181.64,182.90,178.36,178.49,7147600,44.62
2013-03-13,181.50,181.65,178.95,180.91,6623200,45.23
2013-03-12,182.70,183.32,180.50,180.79,8922000,45.20
2013-03-11,185.52,187.94,185.51,185.94,4032000,46.49
2013-03-08,185.81,186.05,183.07,185.85,4218400,46.46
2013-03-07,186.47,186.55,184.08,184.47,3820000,46.12
2013-03-06,185.66,187.47,184.57,186.37,4816400,46.59
2013-03-05,183.74,185.89,183.04,185.77,9381200,46.44
2013-03-04,182.02,186.63,181.48,185.89,9554000,46.47
2013-03-01,177.50,183.24,170.79,182.00,26723200,45.50
2013-02-28,167.07,169.90,167.07,169.22,14840000,42.31
2013-02-27,163.37,168.21,162.00,166.94,6224400,41.74
2013-02-26,163.81,166.68,162.26,163.36,6919200,40.84
2013-02-25,169.79,170.96,163.28,163.51,10159600,40.88
2013-02-22,170.15,170.56,168.75,170.56,4078400,42.64
2013-02-21,170.89,171.16,167.77,168.55,5466800,42.14
2013-02-20,174.88,175.62,171.06,171.08,5296800,42.77
2013-02-19,174.70,175.74,173.79,174.83,3497200,43.71
2013-02-15,174.75,175.84,172.61,175.03,5413600,43.76
2013-02-14,172.29,175.46,171.56,174.46,6841200,43.62
2013-02-13,172.36,173.36,170.00,172.30,4106800,43.08
2013-02-12,170.73,173.00,170.47,172.36,5906400,43.09
2013-02-11,170.82,171.25,169.09,170.63,5684000,42.66
2013-02-08,170.48,171.44,169.48,169.95,4284000,42.49
2013-02-07,171.76,172.50,169.16,170.05,4346000,42.51
2013-02-06,171.47,173.32,170.67,171.30,4883200,42.83
2013-02-05,173.07,173.76,171.10,172.40,3767200,43.10
2013-02-04,173.79,174.82,171.85,172.76,5354400,43.19
2013-02-01,173.98,175.84,173.23,175.06,5174000,43.76
2013-01-31,173.41,174.78,170.60,172.13,4999600,43.03
2013-01-30,175.04,176.44,171.74,172.30,7241600,43.08
2013-01-29,174.70,175.99,172.31,174.69,6209600,43.67
2013-01-28,177.33,178.91,176.65,178.07,8180000,44.52
2013-01-25,173.19,175.74,172.61,173.86,6508000,43.47
2013-01-24,170.75,173.49,170.49,172.29,5149600,43.07
2013-01-23,167.22,171.72,167.16,170.42,5760000,42.60
2013-01-22,170.02,170.27,166.12,166.89,7501600,41.72
2013-01-18,171.52,172.10,167.64,170.02,6346000,42.51
2013-01-17,170.78,173.34,170.42,171.13,6331600,42.78
2013-01-16,174.00,174.72,167.27,169.64,16573600,42.41
2013-01-15,172.45,174.96,171.17,174.65,4128000,43.66
2013-01-14,172.94,174.78,172.45,174.01,3814000,43.50
2013-01-11,172.49,173.65,171.23,173.35,5296800,43.34
2013-01-10,172.60,173.83,169.83,173.12,4749200,43.28
2013-01-09,170.11,172.37,169.33,171.83,3856000,42.96
2013-01-08,169.35,170.70,167.55,169.97,3953600,42.49
2013-01-07,169.28,169.28,166.76,168.98,4185600,42.24
2013-01-04,168.66,170.39,168.07,169.61,3296400,42.40
2013-01-03,170.07,172.54,168.12,168.71,5707600,42.18
2013-01-02,171.77,173.96,166.88,171.17,8162800,42.79
2012-12-31,163.81,168.33,162.91,168.10,6147200,42.03
2012-12-28,164.44,165.75,163.53,164.18,4128400,41.04
2012-12-27,166.28,167.45,162.66,166.24,5888800,41.56
2012-12-26,169.20,169.68,165.26,166.34,3720400,41.58
2012-12-24,168.37,169.44,168.00,169.35,1648000,42.34
2012-12-21,167.93,169.74,167.48,168.95,10731600,42.24
2012-12-20,170.00,170.24,168.52,170.08,4705200,42.52
2012-12-19,171.28,172.75,169.81,169.86,4176000,42.47
2012-12-18,169.01,171.65,168.72,170.90,4890000,42.72
2012-12-17,164.77,170.55,164.66,168.91,10098400,42.23
2012-12-14,165.30,168.16,165.30,166.81,5086800,41.70
2012-12-13,166.17,167.41,165.55,166.64,6459200,41.66
2012-12-12,165.18,168.11,164.40,167.03,9206000,41.76
2012-12-11,158.35,165.89,158.35,165.00,17480400,41.25
2012-12-10,156.70,158.48,156.39,158.42,3867600,39.60
2012-12-07,157.09,158.47,156.10,156.70,5182000,39.17
2012-12-06,156.49,158.71,156.00,157.41,5110000,39.35
2012-12-05,156.22,157.14,153.23,156.87,5315200,39.22
2012-12-04,157.04,157.67,155.11,156.94,3894000,39.24
2012-12-03,158.70,159.50,156.87,157.05,4642000,39.26
2012-11-30,158.18,158.78,156.94,157.67,3504000,39.42
2012-11-29,157.98,159.80,157.86,158.75,5776800,39.69
2012-11-28,155.12,158.09,155.00,157.86,6702000,39.47
2012-11-27,157.38,159.25,156.14,156.37,11893200,39.09
2012-11-26,156.87,160.50,156.60,160.22,10954400,40.06
2012-11-23,156.37,159.69,155.01,159.45,8430800,39.86
2012-11-21,150.10,159.09,149.80,158.78,27916800,39.69
2012-11-20,147.35,149.53,144.37,145.90,12270000,36.47
2012-11-19,145.31,149.57,145.31,147.32,8460800,36.83
2012-11-16,141.37,144.90,140.15,144.30,6346000,36.08
2012-11-15,140.19,141.02,139.46,140.73,4548400,35.18
2012-11-14,142.71,143.82,139.36,139.68,5552000,34.92
2012-11-13,140.20,142.68,139.08,141.11,4170000,35.28
2012-11-12,141.66,142.83,139.75,141.68,4833200,35.42
2012-11-09,142.42,144.30,141.02,141.14,6524000,35.28
2012-11-08,146.27,146.75,142.50,143.28,8838400,35.82
2012-11-07,145.91,147.74,145.85,146.52,5667600,36.63
2012-11-06,145.50,149.07,145.50,147.72,3989600,36.93
2012-11-05,146.87,146.87,143.38,145.09,6740400,36.27
2012-11-02,147.16,148.42,145.88,146.60,7022400,36.65
2012-11-01,143.25,146.96,139.04,146.22,10004000,36.56
2012-10-31,144.85,147.26,144.01,145.98,6795600,36.49
2012-10-26,145.61,147.33,145.27,146.65,8319200,36.66
2012-10-25,148.99,149.23,142.54,145.31,17436800,36.33
2012-10-24,149.80,151.15,147.47,148.22,5813600,37.06
2012-10-23,145.88,149.50,145.51,148.80,4791600,37.20
2012-10-22,149.28,150.00,146.26,147.63,6422400,36.91
2012-10-19,149.67,151.19,148.42,149.01,8387200,37.25
2012-10-18,151.17,152.09,148.86,150.10,6157600,37.53
2012-10-17,154.95,155.24,150.66,151.63,6300000,37.91
2012-10-16,154.75,155.67,153.59,155.46,4082400,38.87
2012-10-15,153.08,154.95,151.52,154.15,3823600,38.54
2012-10-12,153.26,154.75,152.20,153.29,4350000,38.32
2012-10-11,152.96,154.98,151.65,152.61,5578800,38.15
2012-10-10,152.18,152.60,148.68,150.16,4948000,37.54
2012-10-09,153.05,154.40,150.19,152.14,5986400,38.03
2012-10-08,153.97,156.45,152.72,153.60,4539200,38.40
2012-10-05,159.49,159.85,153.75,154.73,6718400,38.68
2012-10-04,155.54,158.11,154.87,157.83,6671200,39.46
2012-10-03,153.50,157.80,153.33,157.04,8752000,39.26
2012-10-02,151.50,153.88,150.27,152.94,5214800,38.24
2012-10-01,153.17,153.49,149.58,151.14,8091600,37.78
2012-09-28,151.69,154.28,151.10,152.69,6212800,38.17
2012-09-27,150.40,154.17,149.28,153.18,6900000,38.29
2012-09-26,151.06,151.38,146.22,148.94,8626400,37.24
2012-09-25,153.91,155.82,152.12,152.13,6296800,38.03
2012-09-24,153.78,155.10,152.05,153.57,4796000,38.39
2012-09-21,156.58,157.75,155.01,155.20,9854000,38.80
2012-09-20,158.02,158.60,154.01,156.02,7120800,39.01
2012-09-19,155.90,158.93,154.54,157.98,8056000,39.49
2012-09-18,157.50,158.00,155.83,156.29,6022800,39.07
2012-09-17,159.01,159.88,157.65,158.16,5740800,39.54
2012-09-14,156.73,161.90,156.56,159.43,13426800,39.86
2012-09-13,153.52,158.00,152.76,156.99,10942800,39.25
2012-09-12,151.09,154.83,151.01,152.71,10642000,38.18
2012-09-11,149.08,151.22,148.19,150.79,6767600,37.70
2012-09-10,149.85,150.78,148.51,149.34,4713200,37.33
2012-09-07,148.79,150.57,148.06,149.57,6190400,37.39
2012-09-06,145.50,149.89,144.91,148.89,9194000,37.22
2012-09-05,144.63,145.58,143.01,144.73,6233600,36.18
2012-09-04,144.72,145.73,142.91,144.84,7312800,36.21
2012-08-31,144.27,146.48,142.80,145.18,8144400,36.29
2012-08-30,144.35,144.82,142.13,142.69,7556000,35.67
2012-08-29,144.95,146.26,144.05,145.60,8646000,36.40
2012-08-28,146.93,147.74,143.66,145.12,14783200,36.28
2012-08-27,147.19,151.97,147.01,149.06,12876400,37.26
2012-08-24,141.08,149.49,140.77,148.54,28062400,37.13
2012-08-23,148.62,149.27,145.57,146.77,16410800,36.69
2012-08-22,147.92,149.28,145.12,148.62,8528800,37.15
2012-08-21,149.09,150.87,146.76,147.64,8800800,36.91
2012-08-20,147.24,147.90,143.30,147.57,10104400,36.89
2012-08-17,148.41,148.41,146.62,147.23,6748000,36.81
2012-08-16,142.74,147.75,142.70,146.96,9492400,36.74
2012-08-15,142.82,144.40,142.12,144.13,4846400,36.03
2012-08-14,145.29,145.29,141.50,142.56,10455600,35.64
2012-08-13,143.50,146.40,142.53,145.15,17647600,36.29
2012-08-10,137.78,141.25,137.52,139.84,10627600,34.96
2012-08-09,135.46,138.95,135.37,137.76,6166400,34.44
2012-08-08,135.60,137.19,134.78,135.55,8405200,33.89
2012-08-07,133.66,138.99,133.09,136.68,11107600,34.17
2012-08-06,129.05,134.35,127.73,132.72,11321200,33.18
2012-08-03,124.11,128.63,121.51,128.27,10586400,32.07
2012-08-02,122.88,125.25,120.18,121.37,10301200,30.34
2012-08-01,127.37,127.63,122.97,124.57,8856800,31.14
2012-07-31,126.16,128.22,123.64,124.36,9177600,31.09
2012-07-30,131.57,131.57,125.03,125.87,14448400,31.47
2012-07-27,125.36,133.39,125.36,131.49,16979200,32.87
2012-07-26,128.36,130.75,122.89,124.61,18435600,31.15
2012-07-25,128.01,129.13,125.11,125.32,9948400,31.33
2012-07-24,130.80,131.12,125.55,126.72,15500000,31.68
2012-07-23,132.18,132.72,128.89,131.00,10374400,32.75
2012-07-20,138.02,138.02,134.51,135.16,6290000,33.79
2012-07-19,135.74,140.83,135.40,139.11,10063200,34.78
2012-07-18,130.34,136.46,129.40,134.90,12746400,33.72
2012-07-17,128.92,129.90,125.10,126.78,7252400,31.69
2012-07-16,129.95,130.79,127.44,127.99,4522800,32.00
2012-07-13,128.24,131.00,127.99,130.55,6668400,32.64
2012-07-12,127.98,128.99,124.81,127.54,6979200,31.89
2012-07-11,129.99,130.42,125.29,126.91,6042800,31.73
2012-07-10,132.62,133.67,128.00,128.87,8694400,32.22
2012-07-09,135.84,136.70,130.60,131.30,8984000,32.83
2012-07-06,139.61,139.61,133.48,135.75,11248400,33.94
2012-07-05,140.95,143.84,140.00,142.42,4278800,35.60
2012-07-03,138.86,142.56,138.52,141.35,3344400,35.34
2012-07-02,136.91,139.24,135.93,139.07,8538800,34.77
2012-06-29,135.34,138.31,135.15,138.26,10560800,34.56
2012-06-28,135.00,135.42,129.65,131.78,7087600,32.94
2012-06-27,134.98,137.30,134.37,135.72,4570800,33.93
2012-06-26,134.73,136.67,134.00,135.33,4588400,33.83
2012-06-25,135.21,135.45,132.69,134.16,5635200,33.54
2012-06-22,133.14,137.25,133.10,137.11,8194000,34.28
2012-06-21,135.34,137.75,132.67,132.77,8782000,33.19
2012-06-20,138.72,139.23,136.19,137.75,7940400,34.44
2012-06-19,138.32,142.47,136.54,138.01,10668400,34.50
2012-06-18,131.32,137.74,130.14,136.80,11644400,34.20
2012-06-15,129.82,135.07,128.56,134.56,12874000,33.64
2012-06-14,127.29,129.63,125.25,129.36,12167600,32.34
2012-06-13,130.27,130.38,126.56,127.33,8401600,31.83
2012-06-12,131.69,131.69,126.95,130.58,9843600,32.65
2012-06-11,137.33,137.50,130.38,130.46,8252000,32.62
2012-06-08,135.32,136.63,131.40,136.49,8953200,34.12
2012-06-07,138.32,138.60,135.26,135.56,7091200,33.89
2012-06-06,134.33,137.73,133.20,136.98,10435600,34.24
2012-06-05,130.74,135.25,129.80,133.74,10949200,33.44
2012-06-04,130.13,132.19,126.32,131.22,14039200,32.81
2012-06-01,134.24,134.35,130.60,130.99,15065600,32.75
2012-05-31,138.24,140.54,135.15,138.62,12621600,34.65
2012-05-30,142.35,142.97,139.50,140.95,13785200,35.24
2012-05-29,146.96,148.72,143.20,145.69,10981600,36.42
2012-05-25,147.14,150.00,146.20,147.00,9678400,36.75
2012-05-24,149.20,150.24,145.00,146.21,10060400,36.55
2012-05-23,147.03,150.95,145.56,150.61,10400000,37.65
2012-05-22,148.18,151.91,147.00,149.45,12460000,37.36
2012-05-21,144.12,149.53,140.32,149.05,15436400,37.26
2012-05-18,143.43,148.95,143.00,145.58,36138000,36.40
2012-05-17,136.96,138.98,132.11,133.80,21522000,33.45
2012-05-16,139.48,139.74,134.07,136.58,13078400,34.15
2012-05-15,138.31,139.99,137.55,138.10,11282800,34.53
2012-05-14,136.18,138.63,135.20,136.55,7354000,34.14
2012-05-11,135.10,140.27,134.71,137.78,13857600,34.44
2012-05-10,149.37,149.80,134.37,135.44,38547600,33.86
2012-05-09,144.31,150.22,144.04,148.98,9210400,37.24
2012-05-08,150.60,150.88,142.06,146.02,15954400,36.51
2012-05-07,151.79,153.70,150.74,151.83,6163200,37.96
2012-05-04,157.20,157.20,152.28,152.59,10230400,38.15
2012-05-03,160.27,163.50,157.31,157.52,12618800,39.38
2012-05-02,155.96,159.50,155.52,158.94,5876400,39.74
2012-05-01,156.15,159.38,154.97,156.88,5548800,39.22
2012-04-30,156.09,157.13,154.79,155.73,3965200,38.93
2012-04-27,156.47,158.88,154.63,156.66,7682000,39.17
2012-04-26,151.00,156.35,151.00,156.20,7077600,39.05
2012-04-25,150.50,152.00,147.77,150.70,11908400,37.67
2012-04-24,154.57,154.77,147.50,149.98,9383600,37.49
2012-04-23,154.20,155.84,150.66,155.00,9539600,38.75
2012-04-20,160.07,161.10,156.83,156.90,7006400,39.22
2012-04-19,159.13,164.75,157.80,159.57,12405200,39.89
2012-04-18,155.19,159.58,154.78,158.64,5556000,39.66
2012-04-17,155.45,156.81,153.91,156.17,6028800,39.04
2012-04-16,160.77,161.50,154.25,154.93,9880400,38.73
2012-04-13,157.99,161.89,157.18,159.37,9975200,39.84
2012-04-12,157.79,158.69,156.39,158.30,6048000,39.58
2012-04-11,152.34,158.57,152.34,158.08,11344800,39.52
2012-04-10,157.74,159.00,152.96,153.73,10788800,38.43
2012-04-09,153.53,157.90,153.01,157.52,7308000,39.38
2012-04-05,156.01,157.62,154.43,157.04,4948400,39.26
2012-04-04,157.02,157.02,152.96,155.68,6243600,38.92
2012-04-03,156.60,159.01,156.43,158.32,5534800,39.58
2012-04-02,152.89,158.45,152.56,157.18,8230800,39.29
2012-03-30,156.73,156.98,152.90,154.51,6420800,38.63
2012-03-29,153.01,157.43,152.17,156.41,7193200,39.10
2012-03-28,153.95,155.71,151.67,154.06,6222800,38.51
2012-03-27,156.68,157.18,153.39,153.50,7746000,38.38
2012-03-26,154.80,157.56,154.15,157.34,6768400,39.33
2012-03-23,152.89,154.64,152.30,153.90,4654000,38.47
2012-03-22,152.83,153.90,151.80,152.84,5102800,38.21
2012-03-21,152.43,156.05,151.62,154.37,9936800,38.59
2012-03-20,149.25,151.30,147.29,150.99,6388800,37.75
2012-03-19,151.48,151.53,148.68,149.94,6862800,37.49
2012-03-16,153.60,153.86,150.22,151.39,7921200,37.85
2012-03-15,151.97,154.44,151.00,152.43,8651600,38.11
2012-03-14,151.87,152.36,149.61,151.61,6467600,37.90
2012-03-13,147.99,152.87,147.81,152.26,11707600,38.06
2012-03-12,147.13,148.00,145.51,147.17,6205200,36.79
2012-03-09,146.08,148.00,145.63,147.43,7590400,36.86
2012-03-08,144.01,147.50,143.92,146.08,9545200,36.52
2012-03-07,141.34,144.00,141.12,143.46,6978800,35.87
2012-03-06,139.80,141.38,138.34,140.69,9244000,35.17
2012-03-05,143.41,143.42,140.21,142.08,7858400,35.52
2012-03-02,143.99,146.00,143.51,143.79,9123200,35.95
2012-03-01,143.98,145.59,142.02,144.98,9913600,36.24
2012-02-29,142.95,145.00,142.17,143.16,10067200,35.79
2012-02-28,141.00,143.50,141.00,143.46,11445200,35.87
2012-02-27,140.73,144.29,140.01,143.35,15408000,35.84
2012-02-24,145.54,146.26,139.75,143.64,58348400,35.91
2012-02-23,128.00,132.00,127.05,131.77,20930800,32.94
2012-02-22,129.02,129.80,127.74,128.07,7881200,32.02
2012-02-21,130.55,130.95,126.77,127.61,10157600,31.90
2012-02-17,132.45,133.00,129.14,129.17,9880400,32.29
2012-02-16,131.08,132.00,128.88,131.75,10111200,32.94
2012-02-15,132.31,133.53,129.93,130.62,9466000,32.65
2012-02-14,132.15,134.73,129.90,131.60,10091600,32.90
2012-02-13,129.80,133.33,129.40,132.23,17785600,33.06
2012-02-10,128.11,130.10,126.92,128.44,16473600,32.11
2012-02-09,123.42,127.70,123.13,125.61,9218800,31.40
2012-02-08,123.32,123.94,120.87,123.80,5908000,30.95
2012-02-07,122.84,123.90,121.82,122.80,5415600,30.70
2012-02-06,123.21,124.65,122.40,123.23,6050000,30.81
2012-02-03,119.34,124.79,119.34,124.10,11595600,31.02
2012-02-02,118.95,120.45,117.05,118.28,8062800,29.57
2012-02-01,117.35,119.99,115.62,119.32,7516800,29.83
2012-01-31,117.08,117.36,114.65,116.80,5320800,29.20
2012-01-30,115.72,117.35,114.52,115.57,10216800,28.89
2012-01-27,115.25,118.08,114.81,116.60,5397600,29.15
2012-01-26,119.40,119.97,115.54,116.22,6778000,29.06
2012-01-25,118.64,118.64,115.83,118.14,6836000,29.53
2012-01-24,114.87,117.83,114.61,117.53,7864000,29.38
2012-01-23,114.22,117.10,113.09,114.75,9100000,28.69
2012-01-20,113.47,115.29,112.60,114.19,9362800,28.55
2012-01-19,111.35,115.88,111.35,114.51,20426000,28.63
2012-01-18,103.39,108.26,102.27,107.70,11434400,26.92
2012-01-17,104.23,105.99,102.88,103.44,7567600,25.86
2012-01-13,104.60,104.86,102.67,103.90,8543600,25.98
2012-01-12,105.59,106.39,104.50,105.68,6792000,26.42
2012-01-11,105.48,107.70,105.01,105.82,14204000,26.45
2012-01-10,102.78,104.81,101.66,104.79,17688400,26.20
2012-01-09,100.82,101.84,99.53,100.75,13761600,25.19
2012-01-06,98.98,101.25,96.85,101.06,17464400,25.26
2012-01-05,96.94,99.95,95.16,98.77,14988800,24.69
2012-01-04,98.99,99.50,96.28,97.48,19788400,24.37
2012-01-03,104.18,106.04,100.90,101.20,12983600,25.30
2011-12-30,102.06,103.10,101.30,101.46,8144400,25.36
2011-12-29,100.11,102.44,99.52,102.19,8962800,25.55
2011-12-28,100.00,100.95,98.74,100.13,8098000,25.03
2011-12-27,97.96,101.79,97.96,100.29,15964400,25.07
2011-12-23,100.19,101.05,97.38,98.02,9992800,24.50
2011-12-22,99.48,100.94,96.05,100.34,18088800,25.08
2011-12-21,99.65,99.99,94.09,99.03,39458400,24.76
2011-12-20,106.04,106.04,102.36,104.32,14539600,26.08
2011-12-19,107.07,107.68,102.96,103.47,9168400,25.87
2011-12-16,107.79,109.31,106.61,107.06,12270000,26.76
2011-12-15,110.19,110.48,104.92,106.71,13297600,26.68
2011-12-14,112.16,112.16,107.30,108.37,15540800,27.09
2011-12-13,117.73,118.62,112.57,113.33,11335200,28.33
2011-12-12,118.77,120.00,114.24,116.07,15026800,29.02
2011-12-09,120.93,124.22,120.00,123.88,8000000,30.97
2011-12-08,121.49,124.00,120.33,120.63,7983600,30.16
2011-12-07,122.60,123.26,120.69,122.59,7630400,30.65
2011-12-06,124.85,126.00,122.91,123.32,12810000,30.83
2011-12-05,122.93,128.45,122.25,125.01,20778400,31.25
2011-12-02,118.98,120.65,118.05,119.64,9842800,29.91
2011-12-01,116.05,119.36,115.52,118.38,12666800,29.59
2011-11-30,114.98,118.48,113.97,118.42,17102400,29.60
2011-11-29,111.29,112.85,110.11,110.59,12251200,27.65
2011-11-28,109.13,113.42,109.13,111.18,17562400,27.80
2011-11-25,103.48,106.89,103.38,104.93,7435200,26.23
2011-11-23,106.87,107.72,104.00,105.79,16027600,26.45
2011-11-22,111.17,112.61,106.99,108.25,16068800,27.06
2011-11-21,111.95,114.43,105.06,111.98,28432800,28.00
2011-11-18,119.45,120.00,111.08,113.43,48698000,28.36
2011-11-17,133.64,133.64,124.27,126.09,26553600,31.52
2011-11-16,135.44,136.36,130.81,131.76,10648000,32.94
2011-11-15,135.05,137.37,133.00,136.60,10642800,34.15
2011-11-14,133.74,136.21,132.05,133.52,12706800,33.38
2011-11-11,130.01,131.50,128.80,129.87,7108400,32.47
2011-11-10,130.64,130.93,125.05,127.81,7618400,31.95
2011-11-09,130.95,133.36,128.27,128.75,8173200,32.19
2011-11-08,134.89,135.27,132.15,134.13,6369600,33.53
2011-11-07,130.78,134.69,130.10,133.34,7201200,33.33
2011-11-04,132.04,132.93,130.01,131.33,4981600,32.83
2011-11-03,131.76,133.41,128.45,133.05,8057600,33.26
2011-11-02,132.56,132.60,127.74,129.84,10990800,32.46
2011-11-01,129.40,131.78,126.74,130.35,12992400,32.59
2011-10-31,134.94,136.92,133.17,133.17,7856800,33.29
2011-10-28,131.79,139.75,131.06,139.14,15308400,34.78
2011-10-27,127.98,134.94,127.05,133.36,21904800,33.34
2011-10-26,129.84,130.12,120.24,123.56,21834400,30.89
2011-10-25,130.58,131.85,128.60,129.56,8303200,32.39
2011-10-24,126.91,132.95,126.91,132.53,8055200,33.13
2011-10-21,129.09,129.82,126.71,129.29,6832400,32.32
2011-10-20,126.81,129.46,124.56,127.68,6074800,31.92
2011-10-19,128.57,131.62,126.71,127.37,7756000,31.84
2011-10-18,126.14,130.84,123.00,129.54,9135200,32.38
2011-10-17,129.75,131.62,126.29,126.72,7901600,31.68
2011-10-14,131.80,132.48,129.13,131.80,7864000,32.95
2011-10-13,126.52,129.96,126.05,129.55,6344000,32.39
2011-10-12,128.32,131.23,127.10,127.26,8664800,31.82
2011-10-11,123.79,130.00,123.51,127.59,9520800,31.90
2011-10-10,122.91,126.29,122.76,125.73,8018800,31.43
2011-10-07,122.51,123.39,119.97,120.96,8627200,30.24
2011-10-06,117.67,122.69,115.80,122.00,13020400,30.50
2011-10-05,114.94,118.00,113.00,117.25,12980800,29.31
2011-10-04,109.82,117.96,109.28,117.60,13187200,29.40
2011-10-03,112.98,115.50,111.50,111.91,10690400,27.98
2011-09-30,115.97,118.33,113.06,114.28,12290400,28.57
2011-09-29,123.88,124.50,116.03,119.55,9748400,29.89
2011-09-28,124.72,125.84,120.38,120.81,9180400,30.20
2011-09-27,124.62,127.26,124.01,124.75,11302400,31.19
2011-09-26,120.53,121.54,114.50,121.18,13437600,30.30
2011-09-23,117.47,120.83,117.16,120.30,10136000,30.08
2011-09-22,120.52,120.52,114.78,117.34,19255200,29.33
2011-09-21,129.60,132.25,125.53,126.67,13832800,31.67
2011-09-20,135.43,135.91,127.98,128.41,14564000,32.10
2011-09-19,133.68,136.99,132.09,136.08,10086000,34.02
2011-09-16,132.46,136.63,132.40,136.56,22376400,34.14
2011-09-15,130.36,133.78,129.18,132.22,12299200,33.06
2011-09-14,126.94,132.19,124.77,130.36,10766000,32.59
2011-09-13,123.77,127.00,122.37,126.58,8593600,31.65
2011-09-12,121.29,123.99,119.73,123.74,9336800,30.93
2011-09-09,123.35,125.33,122.11,123.23,12544800,30.81
2011-09-08,124.48,127.34,123.89,124.89,8763200,31.22
2011-09-07,124.35,126.16,122.50,125.46,8539600,31.36
2011-09-06,119.55,122.00,116.72,120.93,14421600,30.23
2011-09-02,124.01,125.51,121.60,123.61,11555200,30.90
2011-09-01,128.72,130.03,126.45,127.00,12228000,31.75
2011-08-31,125.78,130.00,125.57,128.75,19376400,32.19
2011-08-30,125.26,125.30,120.35,123.46,14607600,30.86
2011-08-29,118.82,127.19,118.25,126.58,16174800,31.65
